timestamp,src_ip,dst_ip,protocol,length,info
2026-08-11T20:55:04.886196,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:4845:400::,TLS,75,TLS application data (encrypted)
2026-08-11T20:55:04.927498,2001:4860:4845:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,86,443 -> 59324 [ACK] Len=0
2026-08-11T20:55:05.353063,10.242.170.37,10.242.170.108,ICMP,74,Echo (ping) request
2026-08-11T20:55:05.362672,10.242.170.108,10.242.170.37,ICMP,74,Echo (ping) reply
2026-08-11T20:55:05.405344,10.242.170.37,10.242.170.120,DNS,87,Standard query 120.170.242.10.in-addr.arpa
2026-08-11T20:55:05.425553,10.242.170.120,10.242.170.37,DNS,146,Standard query 120.170.242.10.in-addr.arpa
2026-08-11T20:55:05.427100,10.242.170.37,10.242.170.120,DNS,71,Standard query example.com
2026-08-11T20:55:05.453448,10.242.170.120,10.242.170.37,DNS,103,Standard query example.com
2026-08-11T20:55:05.456153,10.242.170.37,10.242.170.120,DNS,71,Standard query example.com
2026-08-11T20:55:05.492190,10.242.170.120,10.242.170.37,DNS,99,Standard query example.com
2026-08-11T20:55:05.529541,10.242.170.37,10.242.170.120,DNS,87,Standard query 120.170.242.10.in-addr.arpa
2026-08-11T20:55:05.534774,10.242.170.120,10.242.170.37,DNS,87,Standard query 120.170.242.10.in-addr.arpa
2026-08-11T20:55:05.535833,10.242.170.37,10.242.170.120,DNS,73,Standard query wikipedia.org
2026-08-11T20:55:05.574609,10.242.170.120,10.242.170.37,DNS,89,Standard query wikipedia.org
2026-08-11T20:55:05.579742,10.242.170.37,10.242.170.120,DNS,73,Standard query wikipedia.org
2026-08-11T20:55:05.612859,10.242.170.120,10.242.170.37,DNS,101,Standard query wikipedia.org
2026-08-11T20:55:05.656767,10.242.170.37,10.242.170.120,DNS,87,Standard query 120.170.242.10.in-addr.arpa
2026-08-11T20:55:05.661205,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:482c:7700::,TCP-DATA,146,61524 -> 443 Len=92
2026-08-11T20:55:05.661840,10.242.170.120,10.242.170.37,DNS,87,Standard query 120.170.242.10.in-addr.arpa
2026-08-11T20:55:05.662426,10.242.170.37,10.242.170.120,DNS,70,Standard query python.org
2026-08-11T20:55:05.693459,10.242.170.120,10.242.170.37,DNS,134,Standard query python.org
2026-08-11T20:55:05.696142,10.242.170.37,10.242.170.120,DNS,70,Standard query python.org
2026-08-11T20:55:05.722386,2001:4860:482c:7700::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP-DATA,92,443 -> 61524 Len=38
2026-08-11T20:55:05.734468,10.242.170.120,10.242.170.37,DNS,182,Standard query python.org
2026-08-11T20:55:05.743004,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:482c:7700::,TCP-DATA,95,61524 -> 443 Len=41
2026-08-11T20:55:05.789045,10.242.170.37,10.242.170.120,DNS,71,Standard query example.com
2026-08-11T20:55:05.789045,10.242.170.37,10.242.170.120,DNS,71,Standard query example.com
2026-08-11T20:55:05.796264,2001:4860:482c:7700::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP-DATA,1288,443 -> 61524 Len=1234
2026-08-11T20:55:05.796273,2001:4860:482c:7700::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP-DATA,782,443 -> 61524 Len=728
2026-08-11T20:55:05.796274,10.242.170.120,10.242.170.37,DNS,99,Standard query example.com
2026-08-11T20:55:05.796607,10.242.170.120,10.242.170.37,DNS,103,Standard query example.com
2026-08-11T20:55:05.807059,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:482c:7700::,TCP-DATA,99,61524 -> 443 Len=45
2026-08-11T20:55:05.808096,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,TCP,86,14427 -> 80 [SYN] Len=0
2026-08-11T20:55:05.891330,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:482c:7700::,TCP-DATA,92,61524 -> 443 Len=38
2026-08-11T20:55:05.919479,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,86,"80 -> 14427 [SYN, ACK] Len=0"
2026-08-11T20:55:05.919481,2001:4860:482c:7700::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP-DATA,88,443 -> 61524 Len=34
2026-08-11T20:55:05.919642,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,TCP,74,14427 -> 80 [ACK] Len=0
2026-08-11T20:55:05.926130,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,HTTP,149,GET http://example.com/  [CLEARTEXT]
2026-08-11T20:55:05.955419,2001:4860:482c:7700::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP-DATA,89,443 -> 61524 Len=35
2026-08-11T20:55:05.995909,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,80 -> 14427 [ACK] Len=0
2026-08-11T20:55:05.998690,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,942,"80 -> 14427 [ACK, PSH] Len=868"
2026-08-11T20:55:05.998691,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,2409:40f4:200f:afab:f1e4:eebc:763b:aad,DATA-TEXT-LINES,79,HTTP 200 response  [CLEARTEXT]
2026-08-11T20:55:05.998749,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,TCP,74,14427 -> 80 [ACK] Len=0
2026-08-11T20:55:05.999035,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,TCP,74,"14427 -> 80 [ACK, FIN] Len=0"
2026-08-11T20:55:06.032575,10.242.170.37,10.242.170.120,DNS,74,Standard query www.python.org
2026-08-11T20:55:06.032575,10.242.170.37,10.242.170.120,DNS,74,Standard query www.python.org
2026-08-11T20:55:06.077122,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,"80 -> 14427 [ACK, FIN] Len=0"
2026-08-11T20:55:06.077166,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2606:4700:83b5:72db:f2c6:43d:ef6b:ff98,TCP,74,14427 -> 80 [ACK] Len=0
2026-08-11T20:55:06.077950,10.242.170.120,10.242.170.37,DNS,175,Standard query www.python.org
2026-08-11T20:55:06.079179,10.242.170.120,10.242.170.37,DNS,151,Standard query www.python.org
2026-08-11T20:55:06.086851,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,86,14428 -> 443 [SYN] Len=0
2026-08-11T20:55:06.111392,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,86,"443 -> 14428 [SYN, ACK] Len=0"
2026-08-11T20:55:06.111476,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
2026-08-11T20:55:06.117829,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TLS,535,TLS Client Hello (SNI=www.python.org)
2026-08-11T20:55:06.156657,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 14428 [ACK] Len=0
2026-08-11T20:55:06.157645,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.157648,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,1374,"443 -> 14428 [ACK, PSH] Len=1300"
2026-08-11T20:55:06.157684,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
2026-08-11T20:55:06.158491,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,1374,443 -> 14428 [ACK] Len=1300
2026-08-11T20:55:06.158492,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1265,TLS application data (encrypted)
2026-08-11T20:55:06.158520,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
2026-08-11T20:55:06.170688,10.242.170.37,10.242.170.120,DNS,80,Standard query ocsp2.globalsign.com
2026-08-11T20:55:06.170761,10.242.170.37,10.242.170.120,DNS,80,Standard query ocsp2.globalsign.com
2026-08-11T20:55:06.190961,10.242.170.120,10.242.170.37,DNS,211,Standard query ocsp2.globalsign.com
2026-08-11T20:55:06.197439,10.242.170.120,10.242.170.37,DNS,199,Standard query ocsp2.globalsign.com
2026-08-11T20:55:06.198156,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:25::645,TCP,86,14429 -> 80 [SYN] Len=0
2026-08-11T20:55:06.232474,2a04:4e42:25::645,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,86,"80 -> 14429 [SYN, ACK] Len=0"
2026-08-11T20:55:06.232634,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:25::645,TCP,74,14429 -> 80 [ACK] Len=0
2026-08-11T20:55:06.232915,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:25::645,HTTP,318,GET http://ocsp2.globalsign.com/rootr3/MFIwUDBOMEwwSjAJBgUrDgMCGgUABBT1nGh%2FJBjWKnkPdZIzB1bqhelHBwQUj%2FBLf6guRSSuTVD6Y5qL3uLdG7wCEQCD2oarDjGxnY8Dpe3Vvb1m  ...
2026-08-11T20:55:06.275980,2a04:4e42:25::645,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,80 -> 14429 [ACK] Len=0
2026-08-11T20:55:06.278047,2a04:4e42:25::645,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,1374,80 -> 14429 [ACK] Len=1300
2026-08-11T20:55:06.278375,2a04:4e42:25::645,2409:40f4:200f:afab:f1e4:eebc:763b:aad,OCSP,778,HTTP 200 response  [CLEARTEXT]
2026-08-11T20:55:06.278432,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:25::645,TCP,74,14429 -> 80 [ACK] Len=0
2026-08-11T20:55:06.300065,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TLS,138,TLS application data (encrypted)
2026-08-11T20:55:06.300345,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TLS,200,TLS application data (encrypted)
2026-08-11T20:55:06.330458,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 14428 [ACK] Len=0
2026-08-11T20:55:06.335777,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 14428 [ACK] Len=0
2026-08-11T20:55:06.335790,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,705,TLS application data (encrypted)
2026-08-11T20:55:06.336147,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.336150,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.336154,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.336251,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
2026-08-11T20:55:06.336906,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.336909,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.336911,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.336980,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
